row,product_handle,created_at,author,rating,source
64,sihoo-doro-s100-ergonomic-office-chair,2024-07-30,Amazon C.,4,sihoo.com (US) Okendo review 92de8a92-4461-4a7a-a754-f2f1a6c57eba
65,sihoo-doro-s100-ergonomic-office-chair,2024-08-02,Amazon Shopper 7.,5,sihoo.com (US) Okendo review 8e885779-a4b2-40f6-80d4-6a46576481dc
66,sihoo-doro-s100-ergonomic-office-chair,2024-08-11,Kevin O.,5,sihoo.com (US) Okendo review 383083a0-1768-4d59-aed7-97ea8fbfaa71
67,sihoo-doro-s100-ergonomic-office-chair,2024-10-04,Ernest,4,sihoo.com (US) Okendo review ae09a292-c3c0-458b-9ae5-4c5609590234
68,sihoo-doro-s100-ergonomic-office-chair,2024-10-06,Amazon C.,5,sihoo.com (US) Okendo review 7911700d-17cc-4730-a4b4-5f2c18d0bae1
69,sihoo-doro-s100-ergonomic-office-chair,2024-10-24,tj,5,sihoo.com (US) Okendo review 90f42dd5-46d9-40ff-95fe-5e56a2fbb7ef
70,sihoo-doro-s100-ergonomic-office-chair,2024-11-02,Daniel,5,sihoo.com (US) Okendo review cfd40a12-218a-4b70-a0e3-cb7cbfe5b7fd
71,sihoo-doro-s100-ergonomic-office-chair,2024-11-04,Joe,4,sihoo.com (US) Okendo review 2763a986-09fc-4114-aec5-b67e47f74682
72,sihoo-doro-s100-ergonomic-office-chair,2024-11-05,Madeeha,5,sihoo.com (US) Okendo review 46fa1cb8-175c-43f8-a620-334356d0d5e6
73,sihoo-doro-s100-ergonomic-office-chair,2024-11-05,Sambhu Prasad N.,5,sihoo.com (US) Okendo review 7a2a87de-332b-4efa-be3a-0bc3d1c102b8
74,sihoo-doro-s100-ergonomic-office-chair,2024-11-07,Tony R.,5,sihoo.com (US) Okendo review f7003b54-9cfa-4aae-ad7d-5a48e270ccda
75,sihoo-doro-s100-ergonomic-office-chair,2024-11-10,FraggleRock,4,sihoo.com (US) Okendo review 321729e9-975f-4fde-a0ca-5e7f8f90a93f
76,sihoo-doro-s100-ergonomic-office-chair,2024-11-12,scale m.,5,sihoo.com (US) Okendo review 3633fe49-e601-4d7b-9ff4-7e59e3fc43ef
77,sihoo-doro-s100-ergonomic-office-chair,2024-11-21,SFC,4,sihoo.com (US) Okendo review 7c2e5fe0-84d4-4a9d-8399-b0bfbd82d1d6
78,sihoo-doro-s100-ergonomic-office-chair,2024-11-24,JAWs,5,sihoo.com (US) Okendo review 2cbde391-f1be-428b-b1b4-fab24b7071a8
79,sihoo-doro-s100-ergonomic-office-chair,2024-11-26,The H.,5,sihoo.com (US) Okendo review 780e7617-f68f-4c8d-a5a8-cf836bc0e890
80,sihoo-doro-s100-ergonomic-office-chair,2024-11-26,William K. S.,5,sihoo.com (US) Okendo review 8ed0defc-5846-4ac2-b20c-7c0d87d0dba0
81,sihoo-doro-s100-ergonomic-office-chair,2024-11-26,Kindle C.,5,sihoo.com (US) Okendo review fe7bd2c5-60fa-4e94-8db0-ad905bb16ef6
82,sihoo-doro-s100-ergonomic-office-chair,2024-11-27,L,5,sihoo.com (US) Okendo review 67ccf7d1-ed60-4c25-82e0-3e44a80ce698
83,sihoo-doro-s100-ergonomic-office-chair,2024-12-04,Brentochan,5,sihoo.com (US) Okendo review dfe4a89c-2a40-4260-9815-fd6e87738aad
84,sihoo-doro-s100-ergonomic-office-chair,2024-12-11,Ron,5,sihoo.com (US) Okendo review ec93a685-47e3-478b-a685-375328151c78
85,sihoo-doro-s100-ergonomic-office-chair,2024-12-11,shy,4,sihoo.com (US) Okendo review 94cf6629-032c-4556-8103-76a696eecf38
86,sihoo-doro-s100-ergonomic-office-chair,2024-12-16,Michael H.,5,sihoo.com (US) Okendo review 032558ca-1850-4f07-8d3b-04c8a6a0c11a
87,sihoo-doro-s100-ergonomic-office-chair,2024-12-17,GRILLMASTER7,5,sihoo.com (US) Okendo review e89e298e-0fb5-44b2-b458-dcb3a499529f
